"seed","scenario","montage","coupling","sacc_deg","shuffle","opi","auc_proj","auc_ceiling","null_mean","p_value","opi_truth","bias","gaze_r2","r2_gx","r2_blink"
1,"ocular_corr","full",0.85,0.25,FALSE,0.35980055823778,0.859883500975794,0.914314301199023,0.500082942738013,0.00497512437810945,0.41558711291258,-0.0557865546747995,0.641856692300425,0.440195695741073,0.816457872229376
2,"ocular_corr","full",0.85,0.25,FALSE,0.411245596802828,0.911565086696187,0.937084419298638,0.500319489893359,0.00497512437810945,0.41944306085235,-0.0081974640495216,0.675052377990871,0.498151894468976,0.826179331398106
3,"ocular_corr","full",0.85,0.25,FALSE,0.411810883416498,0.911197972436687,0.93145311219438,0.499387089020189,0.00497512437810945,0.437451055929941,-0.025640172513443,0.666703980302175,0.470269982316403,0.83551919395849
4,"ocular_corr","full",0.85,0.25,FALSE,0.398533666385135,0.897045166322196,0.921996700157825,0.498511499937061,0.00497512437810945,0.437207323777017,-0.0386736573918818,0.654960641268453,0.443758378446643,0.845541208483494
5,"ocular_corr","full",0.85,0.25,FALSE,0.407467913161985,0.90829388421899,0.927940531922203,0.500825971057005,0.00497512437810945,0.426931922417725,-0.0194640092557408,0.674032974983403,0.505610921830585,0.811000989658995
6,"ocular_corr","full",0.85,0.25,FALSE,0.396425406899545,0.897163008240357,0.942058999145758,0.500737601340812,0.00497512437810945,0.441109546033573,-0.0446841391340288,0.654709801520555,0.467015104662123,0.836277418789097
7,"ocular_corr","full",0.85,0.25,FALSE,0.379127724741632,0.879854970654388,0.913877974618956,0.500727245912757,0.00497512437810945,0.431583882171133,-0.0524561574295018,0.661414870127266,0.465893927193666,0.837732344593136
8,"ocular_corr","full",0.85,0.25,FALSE,0.349765047818136,0.849609161845398,0.903639201626511,0.499844114027262,0.00497512437810945,0.428944433436048,-0.0791793856179121,0.644892442301833,0.440465548452613,0.825739089099668
9,"ocular_corr","full",0.85,0.25,FALSE,0.376283586156988,0.87823328338663,0.907443343971655,0.501949697229642,0.00497512437810945,0.411805295096514,-0.0355217089395264,0.651396454453508,0.462753591877178,0.826107047299398
10,"ocular_corr","full",0.85,0.25,FALSE,0.424500037658409,0.925520885892662,0.934683112450696,0.501020848234253,0.00497512437810945,0.435911069768954,-0.0114110321105448,0.689534702612564,0.498668094812824,0.84801096229353
11,"ocular_corr","full",0.85,0.25,FALSE,0.425539734113653,0.92606298144837,0.935785521346255,0.500523247334717,0.00497512437810945,0.436086557188191,-0.0105468230745381,0.703576471919948,0.52534231120499,0.856051266694344
12,"ocular_corr","full",0.85,0.25,FALSE,0.406227949818094,0.901286581940616,0.927543343707726,0.495058632122522,0.00497512437810945,0.428146889320499,-0.0219189395024049,0.647560022545301,0.473248195734192,0.813563656910951
1,"ocular_corr","erpcore",0.85,0.25,FALSE,0.334405848423049,0.834900979303643,0.903199091271642,0.500495130880595,0.00497512437810945,0.41558711291258,-0.0811812644895313,0.484652313036616,0.3322539960808,0.512442163320507
2,"ocular_corr","erpcore",0.85,0.25,FALSE,0.392034116248096,0.892593789867762,0.916107049654151,0.500559673619666,0.00497512437810945,0.41944306085235,-0.0274089446042538,0.503962731334601,0.375606556080974,0.508153971672285
3,"ocular_corr","erpcore",0.85,0.25,FALSE,0.385479821564154,0.884402517282804,0.90484302071649,0.49892269571865,0.00497512437810945,0.437451055929941,-0.0519712343657873,0.501221797774335,0.355910734119218,0.524029896922981
4,"ocular_corr","erpcore",0.85,0.25,FALSE,0.369994552154607,0.868258534346979,0.896216621687189,0.498263982192373,0.00497512437810945,0.437207323777017,-0.06721277162241,0.492132132609131,0.326578933047309,0.544387502551316
5,"ocular_corr","erpcore",0.85,0.25,FALSE,0.380408500378711,0.881306938575061,0.906198759796246,0.50089843819635,0.00497512437810945,0.426931922417725,-0.0465234220390139,0.502870745148221,0.382100388515501,0.480520199656007
6,"ocular_corr","erpcore",0.85,0.25,FALSE,0.379189987723775,0.880406335553873,0.923096997467001,0.501216347830098,0.00497512437810945,0.441109546033573,-0.0619195583097985,0.495992533959403,0.341889031068742,0.560689042514323
7,"ocular_corr","erpcore",0.85,0.25,FALSE,0.366308958976706,0.866656295695135,0.898791378612976,0.500347336718429,0.00497512437810945,0.431583882171133,-0.0652749231944273,0.497509906770417,0.353829899690631,0.52041443581033
8,"ocular_corr","erpcore",0.85,0.25,FALSE,0.342706519741998,0.843210064367929,0.888592006879282,0.500503544625931,0.00497512437810945,0.428944433436048,-0.0862379136940501,0.498390611744336,0.356184039434865,0.52702956340537
9,"ocular_corr","erpcore",0.85,0.25,FALSE,0.353932618305425,0.85512418440041,0.881359984961079,0.501191566094985,0.00497512437810945,0.411805295096514,-0.0578726767910897,0.480693519444825,0.336240446682295,0.518527862220837
10,"ocular_corr","erpcore",0.85,0.25,FALSE,0.39828579062399,0.900537988056843,0.905533574695385,0.502252197432853,0.00497512437810945,0.435911069768954,-0.0376252791449634,0.50642184376534,0.349440915971392,0.532428422009934
11,"ocular_corr","erpcore",0.85,0.25,FALSE,0.399111499486483,0.899374097242985,0.906148938796999,0.500262597756502,0.00497512437810945,0.436086557188191,-0.0369750577017085,0.51928388391401,0.366660536870581,0.559547671468357
12,"ocular_corr","erpcore",0.85,0.25,FALSE,0.376868976613295,0.873584410069144,0.907699551877939,0.496715433455849,0.00497512437810945,0.428146889320499,-0.0512779127072034,0.477386969435157,0.354156477468952,0.499498858783773
1,"ocular_corr","full",0.85,0.5,FALSE,0.41421955399877,0.913728585323779,0.929795288624332,0.499509031325009,0.00497512437810945,0.412531266760196,0.00168828723857412,0.810368442683882,0.781656014703245,0.813618162467487
2,"ocular_corr","full",0.85,0.5,FALSE,0.4231097646343,0.923937164656652,0.936625782477098,0.500827400022351,0.00497512437810945,0.42157579373661,0.00153397089769058,0.839156843081155,0.830870403903378,0.82331114398076
3,"ocular_corr","full",0.85,0.5,FALSE,0.437274398734824,0.937415016276414,0.944598999196185,0.500140617541591,0.00497512437810945,0.436076716198123,0.00119768253670044,0.83416477136602,0.810460406364773,0.8319652635345
4,"ocular_corr","full",0.85,0.5,FALSE,0.436434638606409,0.935394474917341,0.942703785792702,0.498959836310931,0.00497512437810945,0.436904553484554,-0.000469914878144517,0.825963643767064,0.790904368199865,0.842467595694074
5,"ocular_corr","full",0.85,0.5,FALSE,0.425880782509362,0.926658340129324,0.937054101069974,0.500777557619962,0.00497512437810945,0.426766704235734,-0.000885921726371697,0.836062251413044,0.833743809546367,0.807962564926633
6,"ocular_corr","full",0.85,0.5,FALSE,0.439792731366098,0.941056579165767,0.952713855840064,0.501263847799669,0.00497512437810945,0.439428530064649,0.000364201301448874,0.820625903428805,0.804007524192501,0.833134697903382
7,"ocular_corr","full",0.85,0.5,FALSE,0.420777827041846,0.921133729677839,0.933260549290054,0.500355902635993,0.00497512437810945,0.432844501212307,-0.0120666741704601,0.826411615433587,0.801194812788804,0.834267597660894
8,"ocular_corr","full",0.85,0.5,FALSE,0.41711396516944,0.916927670029762,0.927662475789388,0.499813704860322,0.00497512437810945,0.426070826085435,-0.0089568609159949,0.812539404333865,0.781731684726579,0.822209166762256
9,"ocular_corr","full",0.85,0.5,FALSE,0.413313577780385,0.914914215268863,0.923511579003961,0.501600637488478,0.00497512437810945,0.41500491580099,-0.00169133802060401,0.81629911362375,0.796632820018525,0.8234640938309
10,"ocular_corr","full",0.85,0.5,FALSE,0.433397347660508,0.934035292005251,0.939970691943843,0.500637944344743,0.00497512437810945,0.435905058418312,-0.00250771075780454,0.858866767460669,0.841383571982581,0.845090138706671
11,"ocular_corr","full",0.85,0.5,FALSE,0.432028734282288,0.933636954642728,0.940385496733335,0.50160822036044,0.00497512437810945,0.436543819633288,-0.00451508535100054,0.86481706012375,0.852079859790987,0.853307550915423
12,"ocular_corr","full",0.85,0.5,FALSE,0.434061209356862,0.929464092047807,0.939996830077468,0.495402882690945,0.00497512437810945,0.428391785482086,0.00566942387477581,0.81290398817631,0.808339941379112,0.810705850251656
1,"ocular_corr","erpcore",0.85,0.5,FALSE,0.408271210957673,0.908329430690224,0.930312366772668,0.50005821973255,0.00497512437810945,0.412531266760196,-0.00426005580252303,0.655024825041321,0.677210445381646,0.509234812471116
2,"ocular_corr","erpcore",0.85,0.5,FALSE,0.423429648288624,0.924071588882974,0.939083866906406,0.50064194059435,0.00497512437810945,0.42157579373661,0.00185385455201426,0.674550744536949,0.721112808316261,0.504928191164976
3,"ocular_corr","erpcore",0.85,0.5,FALSE,0.434688172742995,0.934536853314938,0.943112049408486,0.499848680571943,0.00497512437810945,0.436076716198123,-0.00138854345512862,0.67120724732854,0.701052856298337,0.519994245881869
4,"ocular_corr","erpcore",0.85,0.5,FALSE,0.433730913125523,0.932770258227186,0.942356618347366,0.499039345101663,0.00497512437810945,0.436904553484554,-0.00317364035903095,0.667462979961484,0.681942583101772,0.540454510482591
5,"ocular_corr","erpcore",0.85,0.5,FALSE,0.423792316140049,0.924515681596528,0.93741975847474,0.50072336545648,0.00497512437810945,0.426766704235734,-0.00297438809568562,0.670477733355025,0.72173117166155,0.477007925266472
6,"ocular_corr","erpcore",0.85,0.5,FALSE,0.441021462891474,0.942717607386235,0.954624734041973,0.50169614449476,0.00497512437810945,0.439428530064649,0.00159293282682493,0.666555280240232,0.688204492071219,0.557112261708416
7,"ocular_corr","erpcore",0.85,0.5,FALSE,0.424331869505419,0.924861259133089,0.937352047948182,0.500529389627669,0.00497512437810945,0.432844501212307,-0.0085126317068871,0.666921643381097,0.697689114974315,0.516560028936972
8,"ocular_corr","erpcore",0.85,0.5,FALSE,0.411573808570501,0.91156988570086,0.927167118363892,0.499996077130359,0.00497512437810945,0.426070826085435,-0.014497017514934,0.663233683995625,0.691412035242249,0.52306558425322
9,"ocular_corr","erpcore",0.85,0.5,FALSE,0.413880318594743,0.915022290193222,0.92424846297595,0.501141971598479,0.00497512437810945,0.41500491580099,-0.00112459720624686,0.652713103887168,0.684256779231861,0.515587238434374
10,"ocular_corr","erpcore",0.85,0.5,FALSE,0.43594181803076,0.937658384145155,0.944856088728239,0.501716566114395,0.00497512437810945,0.435905058418312,3.67596124482006e-05,0.685965495281499,0.713498354468235,0.528244409345791
11,"ocular_corr","erpcore",0.85,0.5,FALSE,0.431828288562164,0.932990818394082,0.939203474610935,0.501162529831918,0.00497512437810945,0.436543819633288,-0.00471553107112421,0.696976781938867,0.727031544065623,0.555773965599982
12,"ocular_corr","erpcore",0.85,0.5,FALSE,0.43350295135891,0.93032794832505,0.942542866891162,0.496824996966141,0.00497512437810945,0.428391785482086,0.00511116587682342,0.64986211415625,0.702874577029544,0.496648811717575
1,"ocular_corr","full",0.85,1,FALSE,0.414487446147644,0.913597081337635,0.924284437449554,0.499109635189991,0.00497512437810945,0.411374715441438,0.00311273070620588,0.889105940888476,0.94785464484276,0.803505439387701
2,"ocular_corr","full",0.85,1,FALSE,0.422171054230875,0.92342918208282,0.932941088257591,0.501258127851945,0.00497512437810945,0.422558652112316,-0.000387597881440827,0.901802509136727,0.965763609705967,0.812645697929219
3,"ocular_corr","full",0.85,1,FALSE,0.436575853378227,0.937091260451383,0.941951374855038,0.500515407073156,0.00497512437810945,0.435514621549899,0.00106123182832796,0.903759497426645,0.959213211288804,0.821104006782996
4,"ocular_corr","full",0.85,1,FALSE,0.437629958574644,0.936516071046845,0.940703611730451,0.498886112472201,0.00497512437810945,0.436001886229691,0.00162807234495305,0.901807481176275,0.952000594832122,0.832296600721992
5,"ocular_corr","full",0.85,1,FALSE,0.428336506340865,0.929104359731884,0.935853068657761,0.500767853391019,0.00497512437810945,0.426439192876595,0.00189731346426947,0.89771849732104,0.966214539190718,0.796451176165517
6,"ocular_corr","full",0.85,1,FALSE,0.440208525089613,0.941981272087149,0.949083201337209,0.501772746997536,0.00497512437810945,0.437998113218755,0.00221041187085835,0.892721983386358,0.956733613614692,0.823634780036668
7,"ocular_corr","full",0.85,1,FALSE,0.425780534189103,0.925937572404147,0.933048030502878,0.500157038215044,0.00497512437810945,0.43260606556208,-0.00682553137297726,0.898400627617118,0.954607131066769,0.822982937276372
8,"ocular_corr","full",0.85,1,FALSE,0.42285421643157,0.922416005881468,0.926640866852272,0.499561789449898,0.00497512437810945,0.425887768557566,-0.00303355212599599,0.890509034442313,0.94800623831951,0.811496754956447
9,"ocular_corr","full",0.85,1,FALSE,0.413799503482828,0.915038628143695,0.92015386411705,0.501239124660866,0.00497512437810945,0.417201267807829,-0.00340176432500067,0.890261267203769,0.953067673659683,0.81378648954077
10,"ocular_corr","full",0.85,1,FALSE,0.43218317814825,0.932616659979661,0.937372383276156,0.500433481831411,0.00497512437810945,0.435534856206212,-0.00335167805796238,0.918806421229287,0.970387950287345,0.83379702737646
11,"ocular_corr","full",0.85,1,FALSE,0.434155625645009,0.936252806344356,0.94065102033315,0.502097180699347,0.00497512437810945,0.435615674190179,-0.00146004854516968,0.920325281383664,0.972213558832488,0.842776783565097
12,"ocular_corr","full",0.85,1,FALSE,0.433461785160773,0.929331861918207,0.935675611989455,0.495870076757434,0.00497512437810945,0.428518276198667,0.00494350896210571,0.882011214502397,0.956720907633145,0.799904742597671
1,"ocular_corr","erpcore",0.85,1,FALSE,0.411717924857237,0.911222737336496,0.923771383801879,0.499504812479259,0.00497512437810945,0.411374715441438,0.000343209415798906,0.768164113691997,0.912767480701492,0.497368749218406
2,"ocular_corr","erpcore",0.85,1,FALSE,0.424645880551199,0.925820313573526,0.935556459061578,0.501174433022327,0.00497512437810945,0.422558652112316,0.00208722843888343,0.774560749006082,0.93123482150876,0.492723842175601
3,"ocular_corr","erpcore",0.85,1,FALSE,0.435482445210895,0.935901500897962,0.941155715793388,0.500419055687068,0.00497512437810945,0.435514621549899,-3.21763390043195e-05,0.77694862405429,0.923594534348103,0.506369935054253
4,"ocular_corr","erpcore",0.85,1,FALSE,0.43756420074277,0.936900139074382,0.942414529499079,0.499335938331612,0.00497512437810945,0.436001886229691,0.00156231451307914,0.779198719335096,0.916991899217419,0.526330301875765
5,"ocular_corr","erpcore",0.85,1,FALSE,0.42803642588195,0.928359582951217,0.937184344542979,0.500323157069267,0.00497512437810945,0.426439192876595,0.00159723300535464,0.770076185575421,0.930342224574828,0.464597767894907
6,"ocular_corr","erpcore",0.85,1,FALSE,0.442082070738466,0.944275673206776,0.951022009123578,0.50219360246831,0.00497512437810945,0.437998113218755,0.00408395751971158,0.777041283292309,0.919117612562916,0.544529308492283
7,"ocular_corr","erpcore",0.85,1,FALSE,0.428135690877325,0.928388911751116,0.93630728686028,0.500253220873791,0.00497512437810945,0.43260606556208,-0.00447037468475564,0.772853782628149,0.920986405222484,0.501548744813675
8,"ocular_corr","erpcore",0.85,1,FALSE,0.419791955769232,0.919335503538306,0.926610646219174,0.499543547769075,0.00497512437810945,0.425887768557566,-0.00609581278833438,0.769773114732621,0.915356470959695,0.510598742286931
9,"ocular_corr","erpcore",0.85,1,FALSE,0.414596445058364,0.915260293525456,0.920982517465766,0.500663848467092,0.00497512437810945,0.417201267807829,-0.00260482274946433,0.765046072925972,0.91719878843816,0.505064209855993
10,"ocular_corr","erpcore",0.85,1,FALSE,0.435210687015701,0.936103983937377,0.941285361595681,0.500893296921677,0.00497512437810945,0.435534856206212,-0.000324169190511647,0.789059114851908,0.931662990358888,0.512861218855537
11,"ocular_corr","erpcore",0.85,1,FALSE,0.43372055145169,0.935437575388805,0.938928273992789,0.501717023937115,0.00497512437810945,0.435615674190179,-0.00189512273848802,0.795609990109321,0.936080228800167,0.541722395822789
12,"ocular_corr","erpcore",0.85,1,FALSE,0.433028284929493,0.930055535542723,0.938338244153534,0.49702725061323,0.00497512437810945,0.428518276198667,0.00451000873082558,0.755803019995113,0.923452524229028,0.486048349965237
1,"ocular_corr","full",0.85,2,FALSE,0.412452054292388,0.911385053608922,0.919481229416603,0.498932999316534,0.00497512437810945,0.411412220674098,0.00103983361829035,0.8952442937638,0.987769204651234,0.767081473983876
2,"ocular_corr","full",0.85,2,FALSE,0.422575629670755,0.924086315377077,0.930824677766297,0.501510685706322,0.00497512437810945,0.422073788077618,0.000501841593137153,0.89988679177635,0.992868957545896,0.773680087958527
3,"ocular_corr","full",0.85,2,FALSE,0.435500052481462,0.936095978790679,0.939073207244223,0.500595926309217,0.00497512437810945,0.434969448440159,0.000530604041303007,0.904704782115748,0.991053407516022,0.782578302385825
4,"ocular_corr","full",0.85,2,FALSE,0.437309635397209,0.936213117585686,0.939120961140316,0.498903482188477,0.00497512437810945,0.435442121797663,0.00186751359954629,0.90603317934556,0.989177673659843,0.795302804962757
5,"ocular_corr","full",0.85,2,FALSE,0.429184731610067,0.929899084045758,0.934527361652445,0.500714352435691,0.00497512437810945,0.426361259030439,0.00282347257962867,0.895549802029189,0.992859059182577,0.754902889784858
6,"ocular_corr","full",0.85,2,FALSE,0.438868469602539,0.941016131085973,0.945784973633649,0.502147661483435,0.00497512437810945,0.437503402561596,0.00136506704094308,0.896323957470142,0.990409602356077,0.790179064215488
7,"ocular_corr","full",0.85,2,FALSE,0.427858736799511,0.928001032055454,0.932552185629348,0.500142295255943,0.00497512437810945,0.432733229670495,-0.00487449287098363,0.900862804110168,0.98964063292972,0.7831131090153
8,"ocular_corr","full",0.85,2,FALSE,0.424878049814223,0.924105434604967,0.927584755110089,0.499227384790744,0.00497512437810945,0.425779633663514,-0.000901583849290621,0.895341840811899,0.987623496759297,0.774398489184111
9,"ocular_corr","full",0.85,2,FALSE,0.413764975683485,0.914733935976973,0.918290454343531,0.500968960293488,0.00497512437810945,0.417590837523665,-0.00382586184018013,0.894606060506987,0.989306093382321,0.779155920730108
10,"ocular_corr","full",0.85,2,FALSE,0.431800778110993,0.932138114150938,0.93540622632618,0.500337336039944,0.00497512437810945,0.435384022400058,-0.0035832442890642,0.914688845347302,0.99418083052403,0.791871489940431
11,"ocular_corr","full",0.85,2,FALSE,0.43456572122443,0.936874380793156,0.940383562646071,0.502308659568725,0.00497512437810945,0.43575670934178,-0.00119098811734986,0.915905174268303,0.994446304600847,0.803754557816426
12,"ocular_corr","full",0.85,2,FALSE,0.432667593327921,0.928967174060138,0.933164473536529,0.496299580732217,0.00497512437810945,0.428278209047132,0.00438938428078889,0.882745379969148,0.990215977148873,0.761268917886346
1,"ocular_corr","erpcore",0.85,2,FALSE,0.410672644340175,0.910026781875306,0.918868229527001,0.499354137535131,0.00497512437810945,0.411412220674098,-0.000739576333923075,0.789067797130002,0.979579454261361,0.460613807481773
2,"ocular_corr","erpcore",0.85,2,FALSE,0.423805330341593,0.925402548731209,0.9317862758395,0.501597218389616,0.00497512437810945,0.422073788077618,0.00173154226397487,0.787780225428907,0.98487341319408,0.454375915266297
3,"ocular_corr","erpcore",0.85,2,FALSE,0.434767246327771,0.935655112886561,0.939212137419767,0.50088786655879,0.00497512437810945,0.434969448440159,-0.00020220211238775,0.791764607140268,0.982871936482246,0.465009843726157
4,"ocular_corr","erpcore",0.85,2,FALSE,0.437265500736928,0.936579603092292,0.939929233089795,0.499314102355364,0.00497512437810945,0.435442121797663,0.00182337893926543,0.795800844725734,0.981182554964194,0.482731460699714
5,"ocular_corr","erpcore",0.85,2,FALSE,0.429581624316966,0.929788320585061,0.935642483247496,0.500206696268095,0.00497512437810945,0.426361259030439,0.00322036528652736,0.784354162740688,0.984477090017723,0.426709173334691
6,"ocular_corr","erpcore",0.85,2,FALSE,0.440548050119756,0.943047825816886,0.947492122137103,0.502499775697131,0.00497512437810945,0.437503402561596,0.00304464755815992,0.795080867615312,0.981785993507203,0.50497574285889
7,"ocular_corr","erpcore",0.85,2,FALSE,0.429629573730469,0.929669291691163,0.934706708719706,0.500039717960694,0.00497512437810945,0.432733229670495,-0.00310365594002582,0.787561890908055,0.981829138016854,0.455654475532087
8,"ocular_corr","erpcore",0.85,2,FALSE,0.422781357897963,0.921868682735032,0.92615969058506,0.499087324837069,0.00497512437810945,0.425779633663514,-0.00299827576555095,0.788478593519205,0.979602037943323,0.473057345528328
9,"ocular_corr","erpcore",0.85,2,FALSE,0.413986106297268,0.914421762309105,0.917902617538102,0.500435656011837,0.00497512437810945,0.417590837523665,-0.00360473122639743,0.785790638479893,0.981206789691907,0.471553174968246
10,"ocular_corr","erpcore",0.85,2,FALSE,0.433702649334568,0.934081970923894,0.937423985880614,0.500379321589326,0.00497512437810945,0.435384022400058,-0.00168137306548966,0.799113716404828,0.985366029840942,0.466448765917766
11,"ocular_corr","erpcore",0.85,2,FALSE,0.434488199363349,0.936432954046232,0.938786741619137,0.501944754682883,0.00497512437810945,0.43575670934178,-0.00126850997843164,0.804646612659597,0.986342432662327,0.498702063189771
12,"ocular_corr","erpcore",0.85,2,FALSE,0.432013063867139,0.929343358309335,0.934238113623922,0.497330294442196,0.00497512437810945,0.428278209047132,0.00373485482000702,0.774008317332146,0.982515234337061,0.452819294947691
1,"ocular_corr","full",0.85,4,FALSE,0.41190598479804,0.910763548832401,0.91513366451095,0.498857564034361,0.00497512437810945,0.411627713128363,0.000278271669676589,0.860493896005975,0.996604909706555,0.661324571656078
2,"ocular_corr","full",0.85,4,FALSE,0.422339928007079,0.924060707934738,0.927399339413875,0.501720779927659,0.00497512437810945,0.421908090692645,0.00043183731443408,0.85971216777828,0.998104103559493,0.661765266934784
3,"ocular_corr","full",0.85,4,FALSE,0.435324840930668,0.936007439408966,0.937512068745058,0.500682598478297,0.00497512437810945,0.433824499385911,0.00150034154475664,0.864886664148906,0.997555389393008,0.669637960435022
4,"ocular_corr","full",0.85,4,FALSE,0.43684258514369,0.935955162429024,0.937631967855294,0.499112577285334,0.00497512437810945,0.435535284637628,0.00130730050606181,0.867957264597831,0.997160431403594,0.683830744309169
5,"ocular_corr","full",0.85,4,FALSE,0.430220366557584,0.930835358827798,0.933239769110139,0.500614992270215,0.00497512437810945,0.426283856484166,0.00393651007341789,0.855476415806179,0.9980481933587,0.637886977634349
6,"ocular_corr","full",0.85,4,FALSE,0.438226234178888,0.940659771737306,0.943354116377848,0.502433537558419,0.00497512437810945,0.436621415506714,0.00160481867217366,0.86186214673943,0.997340435213812,0.690567837328622
7,"ocular_corr","full",0.85,4,FALSE,0.429119972670717,0.929181067040638,0.931688592880413,0.500061094369921,0.00497512437810945,0.432349639612243,-0.00322966694152593,0.860825188439642,0.997148375141206,0.665605976310295
8,"ocular_corr","full",0.85,4,FALSE,0.425437092611785,0.924327745248437,0.926426167609635,0.498890652636652,0.00497512437810945,0.426509622240308,-0.00107252962852339,0.858959631710232,0.99636284776268,0.669040871884074
9,"ocular_corr","full",0.85,4,FALSE,0.413672878461615,0.914559706071862,0.916755601574714,0.500886827610247,0.00497512437810945,0.417804397679702,-0.00413151921808669,0.860086337254287,0.997077672842311,0.678386776976799
10,"ocular_corr","full",0.85,4,FALSE,0.43199028833314,0.932215774075939,0.933965760983118,0.5002254857428,0.00497512437810945,0.435407649688277,-0.00341736135513793,0.870357001602787,0.998482607629077,0.670462723496234
11,"ocular_corr","full",0.85,4,FALSE,0.435007316329613,0.937271274821738,0.93910809701459,0.502263958492125,0.00497512437810945,0.436180756017851,-0.00117343968823735,0.873178250493766,0.998527559657704,0.690697633910063
12,"ocular_corr","full",0.85,4,FALSE,0.432176522509107,0.929023838151485,0.930984191733111,0.496847315642379,0.00497512437810945,0.428157857087229,0.0040186654218779,0.84461255015022,0.99738829865175,0.653542438076321
1,"ocular_corr","erpcore",0.85,4,FALSE,0.411025017272751,0.91032589057072,0.914143355431939,0.499300873297969,0.00497512437810945,0.411627713128363,-0.000602695855612123,0.770473071575277,0.994210797514012,0.386542340456911
2,"ocular_corr","erpcore",0.85,4,FALSE,0.423148830315321,0.925048098777834,0.928539731813196,0.501899268462514,0.00497512437810945,0.421908090692645,0.00124073962267535,0.765241828283031,0.995657017532056,0.37627604485523
3,"ocular_corr","erpcore",0.85,4,FALSE,0.434438387282533,0.935605467891645,0.937349285353914,0.501167080609112,0.00497512437810945,0.433824499385911,0.00061388789662109,0.768033066378257,0.995157384932603,0.384285988699696
4,"ocular_corr","erpcore",0.85,4,FALSE,0.436941167386053,0.93644018239222,0.938186518423183,0.499499015006166,0.00497512437810945,0.435535284637628,0.0014058827484254,0.771196124706876,0.994776768729167,0.395729890240137
5,"ocular_corr","erpcore",0.85,4,FALSE,0.430177761144149,0.930440138009114,0.933215566088787,0.500262376864965,0.00497512437810945,0.426283856484166,0.00389390465998329,0.763349907374826,0.995563457371222,0.350799752287327
6,"ocular_corr","erpcore",0.85,4,FALSE,0.439383048453014,0.942157576035323,0.943936564298441,0.502774527582309,0.00497512437810945,0.436621415506714,0.00276163294630027,0.772767213727156,0.994839118331907,0.419971953168415
7,"ocular_corr","erpcore",0.85,4,FALSE,0.429987083248027,0.930131106581909,0.932337643459543,0.500144023333882,0.00497512437810945,0.432349639612243,-0.00236255636421623,0.762574332595207,0.994824437024032,0.366707607585609
8,"ocular_corr","erpcore",0.85,4,FALSE,0.424673631781224,0.923437895874275,0.925351474709905,0.498764264093051,0.00497512437810945,0.426509622240308,-0.00183599045908384,0.768349647319538,0.994013180587049,0.39650096394762
9,"ocular_corr","erpcore",0.85,4,FALSE,0.414290989483868,0.914608874634907,0.916341907707697,0.500317885151039,0.00497512437810945,0.417804397679702,-0.00351340819583362,0.767711165922022,0.994721217667428,0.398135290218302
