"seed","scenario","method","rank","opi","auc_proj","auc_ceiling","p_value"
1,"ocular_corr","gaze",4,0.411141534584122,0.909973777426026,0.911761979348525,0.00497512437810945
1,"ocular_corr","random",4,0.407335262541121,0.907343786523876,0.911761979348525,0.00497512437810945
1,"ocular_corr","eog",2,0.409602665044876,0.90885528995744,0.911761979348525,0.00497512437810945
1,"ocular_corr","frontal",17,0.411004092874768,0.910043155449765,0.911761979348525,0.00497512437810945
2,"ocular_corr","gaze",4,0.421993352158315,0.923734519586144,0.924970694799996,0.00497512437810945
2,"ocular_corr","random",4,0.420696767811247,0.923040767149335,0.924970694799996,0.00497512437810945
2,"ocular_corr","eog",2,0.425064887628818,0.925711112463403,0.924970694799996,0.00497512437810945
2,"ocular_corr","frontal",17,0.422146720620678,0.923641392757195,0.924970694799996,0.00497512437810945
3,"ocular_corr","gaze",4,0.434538561280886,0.93581838187712,0.93610069711581,0.00497512437810945
3,"ocular_corr","random",4,0.435876976044921,0.937720907948754,0.93610069711581,0.00497512437810945
3,"ocular_corr","eog",2,0.433533663561742,0.935246443449757,0.93610069711581,0.00497512437810945
3,"ocular_corr","frontal",17,0.434525447222507,0.935795098139428,0.93610069711581,0.00497512437810945
4,"ocular_corr","gaze",4,0.4364336075267,0.936047810839332,0.93670004788315,0.00497512437810945
4,"ocular_corr","random",4,0.434548587704254,0.934630193916451,0.93670004788315,0.00497512437810945
4,"ocular_corr","eog",2,0.438046413857702,0.937860394411357,0.93670004788315,0.00497512437810945
4,"ocular_corr","frontal",17,0.436219206802097,0.936046209457002,0.93670004788315,0.00497512437810945
5,"ocular_corr","gaze",4,0.430738346225379,0.931328701538352,0.9320764448212,0.00497512437810945
5,"ocular_corr","random",4,0.427406833426578,0.928045616296725,0.9320764448212,0.00497512437810945
5,"ocular_corr","eog",2,0.430477979010744,0.93131418689592,0.9320764448212,0.00497512437810945
5,"ocular_corr","frontal",17,0.430627648271796,0.931421790097727,0.9320764448212,0.00497512437810945
6,"ocular_corr","gaze",4,0.437878869832863,0.940510425663797,0.941142257521,0.00497512437810945
6,"ocular_corr","random",4,0.441143412428415,0.942409577892882,0.941142257521,0.00497512437810945
6,"ocular_corr","eog",2,0.43987057324693,0.94240458731861,0.941142257521,0.00497512437810945
6,"ocular_corr","frontal",17,0.437771430837716,0.940486877176455,0.941142257521,0.00497512437810945
7,"ocular_corr","gaze",4,0.430318697224887,0.930338278924013,0.931174396719131,0.00497512437810945
7,"ocular_corr","random",4,0.430641518778138,0.931017208786299,0.931174396719131,0.00497512437810945
7,"ocular_corr","eog",2,0.4285971144462,0.928743884255355,0.931174396719131,0.00497512437810945
7,"ocular_corr","frontal",17,0.430548478445849,0.930570673673445,0.931174396719131,0.00497512437810945
8,"ocular_corr","gaze",4,0.426026596814716,0.925007766478277,0.92575483485916,0.00497512437810945
8,"ocular_corr","random",4,0.425778802395751,0.925709910250871,0.92575483485916,0.00497512437810945
8,"ocular_corr","eog",2,0.425707938288457,0.924890681687532,0.92575483485916,0.00497512437810945
8,"ocular_corr","frontal",17,0.425955543225539,0.925031190365288,0.92575483485916,0.00497512437810945
9,"ocular_corr","gaze",4,0.415103179464363,0.915869555664755,0.916315859835675,0.00497512437810945
9,"ocular_corr","random",4,0.416184191172394,0.916776429043013,0.916315859835675,0.00497512437810945
9,"ocular_corr","eog",2,0.416956251425016,0.917145225359934,0.916315859835675,0.00497512437810945
9,"ocular_corr","frontal",17,0.415176545395308,0.915870300368061,0.916315859835675,0.00497512437810945
10,"ocular_corr","gaze",4,0.432328048617793,0.932352787478398,0.932773438497723,0.00497512437810945
10,"ocular_corr","random",4,0.430828163271735,0.929732391781322,0.932773438497723,0.00497512437810945
10,"ocular_corr","eog",2,0.435927424742277,0.935349096664997,0.932773438497723,0.00497512437810945
10,"ocular_corr","frontal",17,0.432221044551029,0.932214179133877,0.932773438497723,0.00497512437810945
11,"ocular_corr","gaze",4,0.43554834776045,0.937571544570449,0.938363453879512,0.00497512437810945
11,"ocular_corr","random",4,0.439060182374366,0.940231077290648,0.938363453879512,0.00497512437810945
11,"ocular_corr","eog",2,0.435364858580371,0.937442800155765,0.938363453879512,0.00497512437810945
11,"ocular_corr","frontal",17,0.435524888660225,0.937662803702609,0.938363453879512,0.00497512437810945
12,"ocular_corr","gaze",4,0.430816076615321,0.928400453160782,0.929191469107114,0.00497512437810945
12,"ocular_corr","random",4,0.429416675261153,0.927045144625238,0.929191469107114,0.00497512437810945
12,"ocular_corr","eog",2,0.429879775596855,0.92807312476945,0.929191469107114,0.00497512437810945
12,"ocular_corr","frontal",17,0.430546457989787,0.928470387292954,0.929191469107114,0.00497512437810945
1,"blink_corr","gaze",4,0.189714390973246,0.689803214016317,0.764738310452415,0.00497512437810945
1,"blink_corr","random",4,0.222009750820548,0.721261113582312,0.764738310452415,0.00497512437810945
1,"blink_corr","eog",2,0.178369864347933,0.674666736625625,0.764738310452415,0.00497512437810945
1,"blink_corr","frontal",17,0.18984526714336,0.688263831805253,0.764738310452415,0.00497512437810945
2,"blink_corr","gaze",4,0.199439129736177,0.697590496370688,0.786274986159488,0.00497512437810945
2,"blink_corr","random",4,0.201738853282949,0.703005074689071,0.786274986159488,0.00497512437810945
2,"blink_corr","eog",2,0.185740817747685,0.685391856758453,0.786274986159488,0.00497512437810945
2,"blink_corr","frontal",17,0.196281074813248,0.694858291042837,0.786274986159488,0.00497512437810945
3,"blink_corr","gaze",4,0.222950749752619,0.724837091898221,0.78295588126442,0.00497512437810945
3,"blink_corr","random",4,0.223505859745312,0.723420176208187,0.78295588126442,0.00497512437810945
3,"blink_corr","eog",2,0.196210570041003,0.695870151417096,0.78295588126442,0.00497512437810945
3,"blink_corr","frontal",17,0.219003650668949,0.72179113394623,0.78295588126442,0.00497512437810945
4,"blink_corr","gaze",4,0.189222395307288,0.688107732919066,0.762413993336401,0.00497512437810945
4,"blink_corr","random",4,0.191289577655297,0.691142977320413,0.762413993336401,0.00497512437810945
4,"blink_corr","eog",2,0.156896995923814,0.658321885430095,0.762413993336401,0.00497512437810945
4,"blink_corr","frontal",17,0.183463333729511,0.682896442350934,0.762413993336401,0.00497512437810945
5,"blink_corr","gaze",4,0.203435252378247,0.703318277153122,0.789345139133112,0.00497512437810945
5,"blink_corr","random",4,0.214464240970221,0.715334843415277,0.789345139133112,0.00497512437810945
5,"blink_corr","eog",2,0.175256192879978,0.673944173776537,0.789345139133112,0.00497512437810945
5,"blink_corr","frontal",17,0.203830000804613,0.704167550361456,0.789345139133112,0.00497512437810945
6,"blink_corr","gaze",4,0.195252361519942,0.692766200419823,0.789265046668864,0.00497512437810945
6,"blink_corr","random",4,0.211855783274178,0.708925329675963,0.789265046668864,0.00497512437810945
6,"blink_corr","eog",2,0.180655103694827,0.676875604051491,0.789265046668864,0.00497512437810945
6,"blink_corr","frontal",17,0.193850644240413,0.690768219503942,0.789265046668864,0.00497512437810945
7,"blink_corr","gaze",4,0.214302270686508,0.710847294925877,0.782842608033824,0.00497512437810945
7,"blink_corr","random",4,0.185453292836279,0.684428453138652,0.782842608033824,0.00497512437810945
7,"blink_corr","eog",2,0.195761717135987,0.694329162720738,0.782842608033824,0.00497512437810945
7,"blink_corr","frontal",17,0.212336406932535,0.708442992107267,0.782842608033824,0.00497512437810945
8,"blink_corr","gaze",4,0.178673172062581,0.678670637052004,0.763612360733644,0.00497512437810945
8,"blink_corr","random",4,0.170543246940981,0.670604322607764,0.763612360733644,0.00497512437810945
