"scenario","method","rank","opi_m","opi_sd","opi_ci","proj_m","ceil_m","frac_sig"
"blink_corr","eog",2,0.174947264751236,0.0158184657625358,0.0100505736455928,0.67457746808809,0.780966561980182,1
"blink_corr","frontal",17,0.195405148916172,0.0128960487631359,0.00819375847043432,0.695101564857803,0.780966561980182,1
"blink_corr","gaze",4,0.197641687580744,0.0125424822511874,0.00796911302628705,0.69748190739523,0.780966561980182,1
"blink_corr","random",4,0.198607523338523,0.0203213827268984,0.0129115905893157,0.698803155609291,0.780966561980182,1
"covert","eog",2,0.00773390390129385,0.0202368709722575,0.0128578943821938,0.506719106635905,0.785290462984026,0.166666666666667
"covert","frontal",17,-0.00408581650978295,0.0279211500746445,0.0177402523928388,0.495746324168473,0.785290462984026,0.0833333333333333
"covert","gaze",4,0.00659712728623573,0.0188368797659176,0.0119683824071559,0.506624137047441,0.785290462984026,0.166666666666667
"covert","random",4,0.0716231830927605,0.0302217403676017,0.0192019777279509,0.571328837361691,0.785290462984026,0.916666666666667
"motor","eog",2,0.00927407227659756,0.0170709633911827,0.0108463726722886,0.509333220500246,0.841735507165942,0.166666666666667
"motor","frontal",17,0.00435859401654104,0.0180510883031473,0.0114691143311485,0.504449066307826,0.841735507165942,0.166666666666667
"motor","gaze",4,0.0306784880896504,0.0124232698374361,0.00789336907223592,0.53091951437121,0.841735507165942,0.416666666666667
"motor","random",4,0.0721330745230766,0.0515156510136907,0.032731483077203,0.572060392655434,0.841735507165942,0.666666666666667
"ocular_corr","eog",2,0.429085795452499,0.00884063647593715,0.00561707243352004,0.929419735615793,0.929693797865666,1
"ocular_corr","frontal",17,0.428522292074775,0.00846603715906754,0.00537906338268632,0.928937838134484,0.929693797865666,1
"ocular_corr","gaze",4,0.428572101508816,0.00849902510309565,0.00540002292236914,0.92891283360062,0.929693797865666,1
"ocular_corr","random",4,0.428243114434173,0.00973068715425636,0.00618258365471213,0.928641917625451,0.929693797865666,1
