"seed","montage","sacc_deg","r2_gx","r2_gy","r2_sacc","blink_auc","mean_r2_all","mean_r2_cont"
1,"full",0.25,0.440195695741073,0.875463160240906,0.435310040990344,1,0.641856692300425,0.583656298990774
2,"full",0.25,0.498151894468976,0.881415771179219,0.494462514917185,1,0.675052377990871,0.624676726855126
3,"full",0.25,0.470269982316403,0.89568194949351,0.465344795440297,1,0.666703980302175,0.610432242416737
4,"full",0.25,0.443758378446643,0.890443881155524,0.440099096988151,1,0.654960641268453,0.591433785530106
5,"full",0.25,0.505610921830585,0.881581460400509,0.497938528043523,1,0.674032974983403,0.628376970091539
6,"full",0.25,0.467015104662123,0.854693255235977,0.460853427395025,1,0.654709801520555,0.594187262431042
7,"full",0.25,0.465893927193666,0.884703172178331,0.457330036543932,1,0.661414870127266,0.602642378638643
8,"full",0.25,0.440465548452613,0.875300035832264,0.438065095822785,1,0.644892442301833,0.584610226702554
9,"full",0.25,0.462753591877178,0.860463006035229,0.456262172602228,1,0.651396454453508,0.593159590171545
10,"full",0.25,0.498668094812824,0.918806267170101,0.4926534861738,1,0.689534702612564,0.636709282718908
11,"full",0.25,0.52534231120499,0.912862779803312,0.520049529977146,1,0.703576471919948,0.652751540328483
12,"full",0.25,0.473248195734192,0.833979137931783,0.46944909960428,1,0.647560022545301,0.592225477756751
1,"erpcore",0.25,0.3322539960808,0.765296633922925,0.328616458822235,0.993817475872793,0.484652313036616,0.475389029608653
2,"erpcore",0.25,0.375606556080974,0.758016339414812,0.374074058170332,0.991080787660976,0.503962731334601,0.50256565122204
3,"erpcore",0.25,0.355910734119218,0.772710053678783,0.352236506376359,0.994061960586881,0.501221797774335,0.49361909805812
4,"erpcore",0.25,0.326578933047309,0.773599192993713,0.323962901844186,0.99427518296266,0.492132132609131,0.474713675961736
5,"erpcore",0.25,0.382100388515501,0.77167582282618,0.377186569595194,0.99285426944168,0.502870745148221,0.510320926978958
6,"erpcore",0.25,0.341889031068742,0.743571139934524,0.337820922320024,0.9950578504637,0.495992533959403,0.474427031107763
7,"erpcore",0.25,0.353829899690631,0.767998711061036,0.34779658051967,0.994115901898734,0.497509906770417,0.489875063757112
8,"erpcore",0.25,0.356184039434865,0.75470094638828,0.355647897748827,0.992933691891245,0.498390611744336,0.488844294523991
9,"erpcore",0.25,0.336240446682295,0.736155120272785,0.331850648603382,0.981631250773545,0.480693519444825,0.46808207185282
10,"erpcore",0.25,0.349440915971392,0.798706692079353,0.345111345000682,0.995419519962042,0.50642184376534,0.497752984350476
11,"erpcore",0.25,0.366660536870581,0.786717606246658,0.364209721070445,0.996224108170311,0.51928388391401,0.505862621395895
12,"erpcore",0.25,0.354156477468952,0.7038097758847,0.352082765603204,0.991039822465743,0.477386969435157,0.470016339652285
1,"full",0.5,0.781656014703245,0.873229768682795,0.772969824882,1,0.810368442683882,0.809285202756013
2,"full",0.5,0.830870403903378,0.879490836748672,0.822954987691808,1,0.839156843081155,0.844438742781286
3,"full",0.5,0.810460406364773,0.892746249621122,0.801487165943683,1,0.83416477136602,0.834897940643193
4,"full",0.5,0.790904368199865,0.887067629154584,0.783414982019733,1,0.825963643767064,0.820462326458061
5,"full",0.5,0.833743809546367,0.879930787364948,0.822611843814228,1,0.836062251413044,0.845428813575181
6,"full",0.5,0.804007524192501,0.851609175368298,0.793752216251039,1,0.820625903428805,0.816456305270613
7,"full",0.5,0.801194812788804,0.880770624939804,0.789413426344844,1,0.826411615433587,0.823792954691151
8,"full",0.5,0.781731684726579,0.871765313150489,0.774451452696137,1,0.812539404333865,0.809316150191069
9,"full",0.5,0.796632820018525,0.858796353104101,0.786303187541474,1,0.81629911362375,0.813910786888033
10,"full",0.5,0.841383571982581,0.917269860174954,0.831723498978469,1,0.858866767460669,0.863458977045335
11,"full",0.5,0.852079859790987,0.911232384018055,0.842648445770535,1,0.86481706012375,0.868653563193192
12,"full",0.5,0.808339941379112,0.832002731978735,0.800567429095739,1,0.81290398817631,0.813636700817862
1,"erpcore",0.5,0.677210445381646,0.763962462727152,0.669691579585371,0.993486934296715,0.655024825041321,0.703621495898056
2,"erpcore",0.5,0.721112808316261,0.756657868529184,0.715504110137376,0.990636230907457,0.674550744536949,0.73109159566094
3,"erpcore",0.5,0.701052856298337,0.770549573684616,0.693232313449338,0.993693361622555,0.67120724732854,0.721611581144097
4,"erpcore",0.5,0.681942583101772,0.771275240882376,0.676179585379195,0.99394576114247,0.667462979961484,0.709799136454448
5,"erpcore",0.5,0.72173117166155,0.770442095263953,0.712729741228125,0.992483750079397,0.670477733355025,0.734967669384543
6,"erpcore",0.5,0.688204492071219,0.741473367270571,0.67943099991072,0.994776173547123,0.666555280240232,0.703036286417504
7,"erpcore",0.5,0.697689114974315,0.765684402032153,0.687753027580947,0.993819224683544,0.666921643381097,0.717042181529138
8,"erpcore",0.5,0.691412035242249,0.752087697563467,0.686369418923563,0.992521675180202,0.663233683995625,0.70995638390976
9,"erpcore",0.5,0.684256779231861,0.735131870387298,0.675876527495139,0.981102039596946,0.652713103887168,0.698421725704766
10,"erpcore",0.5,0.713498354468235,0.796952927773537,0.705166289538434,0.995068228166302,0.685965495281499,0.738539190593402
11,"erpcore",0.5,0.727031544065623,0.784919439421454,0.720182178668411,0.995972382048331,0.696976781938867,0.744044387385163
12,"erpcore",0.5,0.702874577029544,0.702741706029623,0.69718336184826,0.990627408814851,0.64986211415625,0.700933214969142
1,"full",1,0.94785464484276,0.867482812162941,0.937580867160504,1,0.889105940888476,0.917639441388735
2,"full",1,0.965763609705967,0.873083208303714,0.955717520608009,1,0.901802509136727,0.931521446205897
3,"full",1,0.959213211288804,0.886236111643229,0.948484659991552,1,0.903759497426645,0.931311327641195
4,"full",1,0.952000594832122,0.880658759479173,0.942273969671814,1,0.901807481176275,0.924977774661036
5,"full",1,0.966214539190718,0.873979904399098,0.954228369528829,1,0.89771849732104,0.931474271039548
6,"full",1,0.956733613614692,0.845205561827035,0.945313978067037,1,0.892721983386358,0.915751051169588
7,"full",1,0.954607131066769,0.873508978935885,0.942503463189445,1,0.898400627617118,0.9235398577307
8,"full",1,0.94800623831951,0.864467605891464,0.938065538601832,1,0.890509034442313,0.916846460937602
9,"full",1,0.953067673659683,0.852786504243604,0.941404401371019,1,0.890261267203769,0.915752859758102
10,"full",1,0.970387950287345,0.911311203781754,0.959729503471586,1,0.918806421229287,0.947142885846895
11,"full",1,0.972213558832488,0.905031818960431,0.961278964176638,1,0.920325281383664,0.946174780656519
12,"full",1,0.956720907633145,0.824730675368482,0.946688532410289,1,0.882011214502397,0.909380038470639
1,"erpcore",1,0.912767480701492,0.759621162671399,0.902899062176689,0.992127523871154,0.768164113691997,0.858429235183193
2,"erpcore",1,0.93123482150876,0.751881579066329,0.922402753273638,0.989166853848458,0.774560749006082,0.868506384616243
3,"erpcore",1,0.923594534348103,0.764595239498407,0.913234787316397,0.992218965765247,0.77694862405429,0.867141520387636
4,"erpcore",1,0.916991899217419,0.76513566010444,0.908337016142759,0.992507879413807,0.779198719335096,0.863488191821539
5,"erpcore",1,0.930342224574828,0.766180886584015,0.919183863247933,0.990943448159048,0.770076185575421,0.871902324802258
6,"erpcore",1,0.919117612562916,0.736471897608954,0.908046314505083,0.993726286858065,0.777041283292309,0.854545274892318
7,"erpcore",1,0.920986405222484,0.759356206453209,0.909523774023226,0.992205480437284,0.772853782628149,0.863288795232973
8,"erpcore",1,0.915356470959695,0.746460269519514,0.906676976164342,0.990895759772106,0.769773114732621,0.856164572214517
9,"erpcore",1,0.91719878843816,0.731524948880417,0.906396344529318,0.978908373913303,0.765046072925972,0.851706693949298
10,"erpcore",1,0.931662990358888,0.79032156009947,0.921390690093737,0.993745181143386,0.789059114851908,0.881125080184031
11,"erpcore",1,0.936080228800167,0.778304311812587,0.926333024001742,0.994731731875719,0.795609990109321,0.880239188204832
12,"erpcore",1,0.923452524229028,0.699108863689206,0.914602342096981,0.989174141664089,0.755803019995113,0.845721243338405
1,"full",2,0.987769204651234,0.848901670800672,0.977224825619416,1,0.8952442937638,0.937965233690441
2,"full",2,0.992868957545896,0.850824319156914,0.982173802444065,1,0.89988679177635,0.941955693048958
3,"full",2,0.991053407516022,0.865228277668357,0.979959140892786,1,0.904704782115748,0.945413608692389
4,"full",2,0.989177673659843,0.860965791534407,0.978686447225234,1,0.90603317934556,0.942943304139828
5,"full",2,0.992859059182577,0.853423147834218,0.981014111315102,1,0.895549802029189,0.942432106110632
6,"full",2,0.990409602356077,0.825588040209639,0.979119123099364,1,0.896323957470142,0.931705588555027
7,"full",2,0.98964063292972,0.852611425585471,0.978086048910183,1,0.900862804110168,0.940112702475125
8,"full",2,0.987623496759297,0.842386913714626,0.976958463589562,1,0.895341840811899,0.935656291354495
9,"full",2,0.989306093382321,0.832365615044552,0.977596612870964,1,0.894606060506987,0.933089440432613
10,"full",2,0.99418083052403,0.889145531585392,0.983557529339355,1,0.914688845347302,0.955627963816259
11,"full",2,0.994446304600847,0.882153656889005,0.983266177766934,1,0.915905174268303,0.953288713085595
12,"full",2,0.990215977148873,0.800075206077367,0.979421418764007,0.99999509031368,0.882745379969148,0.923237533996749
1,"erpcore",2,0.979579454261361,0.746897752184282,0.96918017459259,0.986829547623592,0.789067797130002,0.898552460346078
2,"erpcore",2,0.98487341319408,0.737080650157262,0.97479092309799,0.983434411500449,0.787780225428907,0.898914995483111
3,"erpcore",2,0.982871936482246,0.747256570128235,0.971920078224431,0.986676495972382,0.791764607140268,0.900682861611638
4,"erpcore",2,0.981182554964194,0.748030478327868,0.97125888491116,0.986805320607561,0.795800844725734,0.900157306067741
5,"erpcore",2,0.984477090017723,0.753256202953662,0.972974184656675,0.985269208782368,0.784354162740688,0.903569159209353
6,"erpcore",2,0.981785993507203,0.723004702237974,0.970557031857181,0.989505400941484,0.795080867615312,0.891782575867453
7,"erpcore",2,0.981829138016854,0.742237082002278,0.970526868081003,0.985476301783659,0.787561890908055,0.898197696033378
8,"erpcore",2,0.979602037943323,0.7317209855302,0.969534005074967,0.984635763936576,0.788478593519205,0.893619009516163
9,"erpcore",2,0.981206789691907,0.72052628513046,0.969876304128962,0.971401257303328,0.785790638479893,0.890536459650443
10,"erpcore",2,0.985366029840942,0.769745279493861,0.974894790366744,0.988211194802706,0.799113716404828,0.910002033233849
11,"erpcore",2,0.986342432662327,0.757829624401295,0.975712330384995,0.989773626294592,0.804646612659597,0.906628129149539
12,"erpcore",2,0.982515234337061,0.688375318482895,0.972323421560936,0.984264455343948,0.774008317332146,0.881071324793631
1,"full",4,0.996604909706555,0.798009695425345,0.986036407235923,0.999851023515007,0.860493896005975,0.926883670789274
2,"full",4,0.998104103559493,0.79178469156054,0.987194609058303,0.999826856843366,0.85971216777828,0.925694468059445
3,"full",4,0.997555389393008,0.80595409276567,0.986399214001925,0.999928078250863,0.864886664148906,0.929969565386868
4,"full",4,0.997160431403594,0.8044607040947,0.986377178583863,0.999910967075625,0.867957264597831,0.929332771360719
5,"full",4,0.9980481933587,0.799591222266025,0.98637926996564,0.999872964790074,0.855476415806179,0.928006228530122
6,"full",4,0.997340435213812,0.773281598658432,0.986258715756853,0.99993171468689,0.86186214673943,0.918960249876366
7,"full",4,0.997148375141206,0.794549210626722,0.985997191680345,0.999860651611047,0.860825188439642,0.925898259149425
8,"full",4,0.99636284776268,0.784914842056679,0.985519965137495,0.99987152167075,0.858959631710232,0.922265884985618
9,"full",4,0.997077672842311,0.779402589923387,0.985478309274652,0.999265932884073,0.860086337254287,0.920652857346783
10,"full",4,0.998482607629077,0.824502750904799,0.987979924381038,0.999917879839957,0.870357001602787,0.936988427638305
11,"full",4,0.998527559657704,0.816156524508261,0.987331283899035,0.999901107594937,0.873178250493766,0.934005122688333
